name_ru;name_kk;external_id
Байконыр Г.А.;Байқоңыр Қ.Ә.;431900000
Аральский район;Арал ауданы;433200000
Жалагашский район;Жалағаш ауданы;433600000
Жанакорганский район;Жаңақорған ауданы;434000000
Казалинский район;Қазалы ауданы;434400000
Кармакшинский район;Қармақшы ауданы;434600000
Сырдарьинский район;Сырдария ауданы;434800000
Чиилийский район;Шиелі ауданы;435200000
Актау Г.А.;Ақтау Қ.Ә.;471000000
Жанаозен Г.А.;Жаңаөзен Қ.Ә.;471800000
Бейнеуский район;Бейнеу ауданы;473600000
Каракиянский район;Қарақиян ауданы;474200000
Мангистауский район;Маңғыстау ауданы;474600000
Мунайлинский район;Мұнайлы ауданы;475000000
Тупкараганский район;Түпқараған ауданы;475200000
Павлодар Г.А.;Павлодар Қ.Ә.;551000000
Аксу Г.А.;Ақсу Қ.Ә.;551600000
Экибастуз Г.А.;Екібастұз Қ.Ә.;552200000
Актогайский район;Ақтоғай ауданы;553200000
Баянаульский район;Баянауыл ауданы;553600000
Железинский район;Железин ауданы;554200000
Иртышский район;Ертіс ауданы;554600000
район Тереңкөл;Тереңкөл ауданы;554800000
район Аққулы;Аққулы ауданы;555200000
Майский район;Май ауданы;555600000
Павлодарский район;Павлодар ауданы;556000000
Успенский район;Успен ауданы;556400000
Щербактинский район;Шарбақты ауданы;556800000
Петропавловск Г.А.;Петропавл Қ.Ә.;591000000
Айыртауский район;Айыртау ауданы;593200000
Акжарский район;Ақжар ауданы;593400000
Район Магжана Жумабаева;Мағжан Жұмабаев ауданы;593600000
Есильский район;Есіл ауданы;594200000
Жамбылский район;Жамбыл ауданы;594600000
Кызылжарский район;Қызылжар ауданы;595000000
Мамлютский район;Мамлют ауданы;595200000
Район Шал акына;Шал ақын ауданы;595600000
Аккайынский район;Аққайың ауданы;595800000
Тайыншинский район;Тайынша ауданы;596000000
Тимирязевский район;Тимирязев ауданы;596200000
Уалихановский район;Уәлиханов ауданы;596400000
Район им.Габита Мусрепова;Ғабит Мүсірепов ат.ауданы;596600000
Туркестан Г.А.;Түркістан Қ.Ә.;611000000
Арысь Г.А.;Арыс Қ.Ә.;611600000
Кентау Г.А.;Кентау Қ.Ә.;612000000
район Байдибека;Бәйдібек ауданы;613600000
Жетисайский район;Жетісай ауданы;613800000
Келесский район;Келес ауданы;613900000
Казыгуртский район;Қазығұрт ауданы;614000000
Мактааральский район;Мақтаарал ауданы;614400000
Ордабасынский район;Ордабасы ауданы;614600000
Отрарский район;Отырар ауданы;614800000
Сайрамский район;Сайрам ауданы;615200000
Сарыагашский район;Сарыағаш ауданы;615400000
район Сауран;Сауран ауданы;615500000
Сузакский район;Созақ ауданы;615600000
Толебийский район;Төле би ауданы;615800000
Тюлькубасский район;Түлкібас ауданы;616000000
Шардаринский район;Шардара ауданы;616400000
Жезказган Г.А.;Жезқазған Қ.Ә.;621000000
Каражал Г.А.;Қаражал Қ.Ә.;621800000
Сатпаев Г.А.;Сәтбаев Қ.Ә.;622000000
Жанааркинский район;Жаңаарқа ауданы;623600000
Улытауский район;Ұлытау ауданы;623800000
Усть-Каменогорск Г.А.;Өскемен Қ.Ә.;631000000
Риддер Г.А.;Риддер Қ.Ә.;632400000
Глубоковский район;Глубокое ауданы;634000000
Зайсанский район;Зайсан ауданы;634600000
район Алтай;Алтай ауданы;634800000
Курчумский район;Күршім ауданы;635200000
Катон-Карагайский район;Катонқарағай ауданы;635400000
район Марқакөл;Марқакөл ауданы;635500000
район Самар;Самар ауданы;635600000
Тарбагатайский район;Тарбағатай ауданы;635800000
Уланский район;Ұлан ауданы;636200000
район Үлкен Нарын;Үлкен Нарын ауданы;636300000
Шемонаихинский район;Шемонаиха ауданы;636800000
район Алматы;Алматы ауданы;711110000
район Есиль;Есіл ауданы;711210000
район Сарыарка;Сарыарқа ауданы;711310000
район Байқоңыр;Байқоңыр ауданы;711410000
район Нұра;Нұра ауданы;711510000
район Сарайшық;Сарайшық ауданы;711610000
Алмалинский район;Алмалы ауданы;751110000
Алатауский район;Алатау ауданы;751210000
Ауэзовский район;Әуезов ауданы;751310000
Бостандыкский район;Бостандық ауданы;751410000
Жетысуский район;Жетісу ауданы;751510000
Медеуский район;Медеу ауданы;751710000
Наурызбайский район;Наурызбай ауданы;751810000
Турксибский район;Түркісіб ауданы;751910000
Абайский район;Абай ауданы;791110000
Аль-Фарабийский район;Әл Фараби ауданы;791310000
Енбекшинский район;Еңбекші ауданы;791510000
г.Шымкент;Шымкент қ.;791520000
Каратауский район;Қаратау ауданы;791710000
район Тұран;Тұран ауданы;791910000
